# znacajka mean scale(std)
rms 0.014869348147729907 0.011769915374249625
zcr 0.028250927682056483 0.015457961229022352
spectral_centroid 1849.252770000423 519.7418870983369
spectral_bandwidth 3090.003844656208 493.54614047797924
spectral_rolloff 3535.291871555947 1251.7601942819385
low_band_energy 0.7451868839030878 0.188570669011041
mid_band_energy 0.2214411489166564 0.1644645934746645
high_band_energy 0.03286107178851238 0.06898766898699478
spectral_slope -1.9019383483143846 0.41064933604321147
bandwidth_low_band 56.64652417148116 15.741389631421836
flux_mean 0.3180073157187063 0.09948813686279645
flux_std 0.3858147968862876 0.2124779760511053
spectral_flatness_mean 0.0010298912014323931 0.0012681925341836205
spectral_flatness_std 0.0008279432628894601 0.0010916651606004911
harmonic_ratio 0.7787871699660874 0.16712253062262367
mfcc_0_mean -423.5541990864081 47.78681942709528
mfcc_0_std 16.457584852133174 10.378965675978225
mfcc_1_mean 184.4197927157377 21.89043851056691
mfcc_1_std 11.840468273628039 5.893099761394332
mfcc_2_mean -21.471394952520253 16.535714948815357
mfcc_2_std 9.400078156583554 4.4475625711999065
mfcc_3_mean 30.989512411461316 14.163046396412748
mfcc_3_std 8.139948065780787 3.4745961394241345
mfcc_4_mean 4.88016664154162 11.23853684803944
mfcc_4_std 7.225488304343186 2.36430560168614
